method,problem,popsize,samples,trial,time
tourn,uball5d,100,100,8,41.913355588912964
tourn,uball5d,100,500,8,42.96989130973816
tourn,uball5d,100,1000,8,38.25326681137085
tourn,uball5d,100,5000,8,81.651695728302
lex,uball5d,100,50,8,58.95044565200806
lex,uball5d,100,100,8,65.2074785232544
lex,uball5d,100,500,8,61.93372583389282
lex,uball5d,100,1000,8,68.18282198905945
lex,uball5d,100,5000,8,96.37067747116089
dc,uball5d,100,50,8,90.09951543807983
dc,uball5d,100,100,8,87.32784008979797
dc,uball5d,100,500,8,101.1285834312439
dc,uball5d,100,1000,8,96.74445700645447
dc,uball5d,100,5000,8,143.76831769943237
afp,uball5d,100,50,8,100.12490630149841
afp,uball5d,100,100,8,106.4552903175354
afp,uball5d,100,500,8,92.4823215007782
afp,uball5d,100,1000,8,99.22177696228027
afp,uball5d,100,5000,8,97.10917115211487
ep-lex-s,uball5d,100,50,8,51.239147901535034
ep-lex-s,uball5d,100,100,8,59.18821692466736
ep-lex-s,uball5d,100,500,8,61.79156041145325
ep-lex-s,uball5d,100,1000,8,65.40954685211182
ep-lex-s,uball5d,100,5000,8,120.33945965766907
ep-lex-sd,uball5d,100,50,8,54.50892972946167
ep-lex-sd,uball5d,100,100,8,54.8115119934082
ep-lex-sd,uball5d,100,500,8,62.07749891281128
ep-lex-sd,uball5d,100,1000,8,61.36009693145752
ep-lex-sd,uball5d,100,5000,8,125.25758624076843
ep-lex-d,uball5d,100,50,8,63.97654700279236
ep-lex-d,uball5d,100,100,8,65.36428737640381
ep-lex-d,uball5d,100,500,8,68.72349071502686
ep-lex-d,uball5d,100,1000,8,70.24997353553772
ep-lex-d,uball5d,100,5000,8,131.6589696407318
rand,uball5d,100,50,9,45.66840124130249
rand,uball5d,100,100,9,52.11875128746033
rand,uball5d,100,500,9,41.56628084182739
rand,uball5d,100,1000,9,57.06187152862549
rand,uball5d,100,5000,9,60.03678011894226
tourn,uball5d,100,50,9,30.116475343704224
tourn,uball5d,100,100,9,43.05832242965698
tourn,uball5d,100,500,9,39.79803204536438
tourn,uball5d,100,1000,9,42.75856876373291
tourn,uball5d,100,5000,9,92.78103756904602
lex,uball5d,100,50,9,62.21763610839844
lex,uball5d,100,100,9,58.56022357940674
lex,uball5d,100,500,9,64.5027027130127
lex,uball5d,100,1000,9,69.48922991752625
lex,uball5d,100,5000,9,109.79145121574402
dc,uball5d,100,50,9,77.22565984725952
dc,uball5d,100,100,9,91.32626843452454
dc,uball5d,100,500,9,87.92803359031677
dc,uball5d,100,1000,9,100.2194402217865
dc,uball5d,100,5000,9,141.76163387298584
afp,uball5d,100,50,9,96.41401386260986
afp,uball5d,100,100,9,96.0565538406372
afp,uball5d,100,500,9,104.69568586349487
afp,uball5d,100,1000,9,97.47840571403503
afp,uball5d,100,5000,9,116.1283802986145
ep-lex-s,uball5d,100,50,9,53.183793783187866
ep-lex-s,uball5d,100,100,9,51.65065264701843
ep-lex-s,uball5d,100,500,9,58.48939490318298
ep-lex-s,uball5d,100,1000,9,65.13644409179688
ep-lex-s,uball5d,100,5000,9,117.65020370483398
ep-lex-sd,uball5d,100,50,9,56.268967628479004
ep-lex-sd,uball5d,100,100,9,63.83766722679138
ep-lex-sd,uball5d,100,500,9,66.11868715286255
ep-lex-sd,uball5d,100,1000,9,60.14478516578674
ep-lex-sd,uball5d,100,5000,9,119.09735488891602
ep-lex-d,uball5d,100,50,9,66.02538681030273
ep-lex-d,uball5d,100,100,9,68.27934408187866
ep-lex-d,uball5d,100,500,9,59.46808123588562
ep-lex-d,uball5d,100,1000,9,69.80424737930298
ep-lex-d,uball5d,100,5000,9,129.74017691612244
